date,stock,market
2021-06-01,16.186609268188477,4202.0400390625
2021-06-02,16.69789695739746,4208.1201171875
2021-06-03,16.888486862182617,4192.85009765625
2021-06-04,17.49407196044922,4229.89013671875
2021-06-07,17.534626007080078,4226.52001953125
2021-06-08,17.373401641845703,4227.259765625
2021-06-09,17.279077529907227,4219.5498046875
2021-06-10,17.34552764892578,4239.18017578125
2021-06-11,17.743953704833984,4247.43994140625
2021-06-14,17.936569213867188,4255.14990234375
2021-06-15,17.707372665405273,4246.58984375
2021-06-16,17.729021072387695,4223.7001953125
2021-06-17,18.57215690612793,4221.85986328125
2021-06-18,18.553741455078125,4166.4501953125
2021-06-21,18.34320831298828,4224.7900390625
2021-06-22,18.800609588623047,4246.43994140625
2021-06-23,18.970335006713867,4241.83984375
2021-06-24,19.117908477783203,4266.490234375
2021-06-25,18.94420051574707,4280.7001953125
2021-06-28,19.89385223388672,4290.60986328125
2021-06-29,19.935409545898438,4291.7998046875
2021-06-30,19.91126823425293,4297.5
2021-07-01,20.119815826416016,4319.93994140625
2021-07-02,20.39356231689453,4352.33984375
2021-07-06,20.60409164428711,4343.5400390625
2021-07-07,20.278837203979492,4358.1298828125
2021-07-08,19.811979293823242,4320.81982421875
2021-07-09,19.958805084228516,4369.5498046875
2021-07-12,20.418949127197266,4384.6298828125
2021-07-13,20.157644271850586,4369.2099609375
2021-07-14,19.75100326538086,4374.2998046875
2021-07-15,18.879751205444336,4360.02978515625
2021-07-16,18.078168869018555,4327.16015625
2021-07-19,18.69409942626953,4258.490234375
2021-07-20,18.527116775512695,4323.06005859375
2021-07-21,19.321474075317383,4358.68994140625
2021-07-22,19.504629135131836,4367.47998046875
2021-07-23,19.46879768371582,4411.7900390625
2021-07-26,19.206005096435547,4422.2998046875
2021-07-27,19.120393753051758,4401.4599609375
2021-07-28,19.4140567779541,4400.64013671875
2021-07-29,19.57232666015625,4419.14990234375
2021-07-30,19.41007423400879,4395.259765625
2021-08-02,19.659923553466797,4387.16015625
2021-08-03,19.724626541137695,4423.14990234375
2021-08-04,20.181535720825195,4402.66015625
2021-08-05,20.542877197265625,4429.10009765625
2021-08-06,20.273115158081055,4436.52001953125
2021-08-09,20.20244026184082,4432.35009765625
2021-08-10,19.845075607299805,4436.75
2021-08-11,19.609155654907227,4442.41015625
2021-08-12,19.81421661376953,4460.830078125
2021-08-13,20.09592628479004,4468.0
2021-08-16,19.859012603759766,4479.7099609375
2021-08-17,19.3692569732666,4448.080078125
2021-08-18,18.95315933227539,4400.27001953125
2021-08-19,19.707704544067383,4405.7998046875
2021-08-20,20.721057891845703,4441.669921875
2021-08-23,21.857852935791016,4479.52978515625
2021-08-24,21.693599700927734,4486.22998046875
2021-08-25,22.111690521240234,4496.18994140625
2021-08-26,21.967355728149414,4470.0
2021-08-27,22.53276252746582,4509.3701171875
2021-08-30,22.58452033996582,4528.7900390625
2021-08-31,22.286836624145508,4522.68017578125
2021-09-01,22.34258460998535,4524.08984375
2021-09-02,22.29778480529785,4536.9501953125
2021-09-03,22.742828369140625,4535.43017578125
2021-09-07,22.562620162963867,4520.02978515625
2021-09-08,22.241039276123047,4514.06982421875
2021-09-09,22.07974624633789,4493.27978515625
2021-09-10,22.379425048828125,4458.580078125
2021-09-13,22.05485725402832,4468.72998046875
2021-09-14,22.14446258544922,4443.0498046875
2021-09-15,22.24302864074707,4480.7001953125
2021-09-16,22.14446258544922,4473.75
2021-09-17,21.803958892822266,4432.990234375
2021-09-20,21.02041244506836,4357.72998046875
2021-09-21,21.15283203125,4354.18994140625
2021-09-22,21.844785690307617,4395.64013671875
2021-09-23,22.383407592773438,4448.97998046875
2021-09-24,21.984163284301758,4455.47998046875
2021-09-27,21.565019607543945,4443.10986328125
2021-09-28,20.60822868347168,4352.6298828125
2021-09-29,20.42702865600586,4359.4599609375
2021-09-30,20.625152587890625,4307.5400390625
2021-10-01,20.651039123535156,4357.0400390625
2021-10-04,19.645471572875977,4300.4599609375
2021-10-05,20.361316680908203,4345.72021484375
2021-10-06,20.609224319458008,4363.5498046875
2021-10-07,20.98257827758789,4399.759765625
2021-10-08,20.739643096923828,4391.33984375
2021-10-11,20.60424041748047,4361.18994140625
2021-10-12,20.58034896850586,4350.64990234375
2021-10-13,20.84717559814453,4363.7998046875
2021-10-14,21.650636672973633,4438.259765625
2021-10-15,21.766132354736328,4471.3701171875
2021-10-18,22.124553680419922,4486.4599609375
2021-10-19,22.19225311279297,4519.6298828125
2021-10-20,22.006072998046875,4536.18994140625
2021-10-21,22.592487335205078,4549.77978515625
2021-10-22,22.626340866088867,4544.89990234375
2021-10-25,23.064411163330078,4566.47998046875
2021-10-26,24.608606338500977,4574.7900390625
2021-10-27,24.343772888183594,4551.68017578125
2021-10-28,24.831628799438477,4596.419921875
2021-10-29,25.454877853393555,4605.3798828125
2021-11-01,25.713741302490234,4613.669921875
2021-11-02,26.28522300720215,4630.64990234375
2021-11-03,26.48135757446289,4660.56982421875
2021-11-04,29.67030906677246,4680.06005859375
2021-11-05,29.621536254882812,4697.52978515625
2021-11-08,30.668920516967773,4701.7001953125
2021-11-09,30.522558212280273,4685.25
2021-11-10,29.329814910888672,4646.7099609375
2021-11-11,30.256729125976562,4649.27001953125
